Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
SRR8611757,0.005340644,0.224703134,0.007120732,0.003708098,0.00092705,0.018537743
SRR8611758,0.005603261,0.137099369,0.012606455,0.014854206,0.001485619,0.025249525
SRR8611759,0.005624139,0.221673495,0.008435971,0.01261242,0.001940579,0.016492525
SRR8611760,0.00158836,0.307200203,0.015881335,0.006566635,0.009849629,0.014773716
SRR8611761,0.007831671,0.307123708,0.007831671,0.007930004,0.002643475,0.015858751
SRR8611762,0.008827684,0.164526838,0,0.01218472,0.003046458,0.024366472
SRR8611763,0.006858819,0.199575573,0.007386382,0.004401457,0.001100401,0.019253514
SRR8611764,0.006086612,0.151943356,0.003043399,0.003150996,0,0.028351815
SRR8611765,0.004596644,0.201853381,0.002298375,0.005284667,0.000587213,0.021135319
SRR8611766,0.003534443,0.23977433,0,0.003589311,0.007178364,0.043054733
SRR8611767,0.001036699,0.169731844,0.004146668,0.010685245,0.002137232,0.009616823
SRR8611768,0.005732384,0.173114341,0.002866274,0.008886256,0,0.013328792
SRR8611769,0.006227555,0.219570801,0.010378827,0.016967486,0.002121251,0.016967486
SRR8611770,0.020204936,0.362443907,0,0.014664907,0.020529665,0.020529665
SRR8611771,0.013126231,0.192173305,0.004375793,0.031992687,0.004571638,0.018284043
SRR8611772,0.010785014,0.246126533,0.008088979,0.012531328,0.01670774,0.006962237
SRR8611773,0,0.175764086,0.00733586,0.005008389,0.007512395,0.020030547
SRR8611774,0.004789174,0.219828234,0.006841536,0.006328624,0.006328624,0.024606818
SRR8611775,0.00190371,0.239298059,0,0.003928347,0.007856385,0.015711536
SRR8611776,0.001195829,0.212407966,0.004783144,0.007350869,0.006125799,0.044089011
SRR8611777,0.010115315,0.215770148,0.002529021,0.015482872,0.006451779,0.029671294
SRR8611778,0.003614657,0.200476195,0.003614657,0.004249623,0.006374299,0.015403165
SRR8611779,0.005391301,0.336378291,0.00215659,0.009831231,0.01529219,0.013107878
SRR8611780,0.003890092,0.266418354,0.002593428,0.007965906,0.003983112,0.021239596
SRR8611781,0,0.265565915,0,0.002898551,0,0.034771522
SRR8611782,0.002854696,0.270470334,0,0,0,0.014619456
SRR8611783,0.00178444,0.284702575,0.00178444,0.001853946,0,0.003707824
SRR8611784,0.005842828,0.194393686,0.005842828,0.010190771,0.00203832,0.016304237
SRR8611785,0.009710435,0.259589306,0.005826487,0.002036535,0.002036535,0.016289961
SRR8611786,0.002339742,0.19674007,0.003509572,0.004190613,0.00179602,0.02573679
SRR8611788,0.001414837,0.193460471,0.003537018,0.002156706,0.00431332,0.021562877
SRR8611789,0.002626218,0.193968261,0.002251052,0.009623639,0.000769959,0.021939194
SRR8611790,0.003870643,0.322169921,0,0.003978199,0.003978199,0.009944905
SRR8611791,0.001538367,0.176602476,0.003076686,0.001576243,0,0.022062879
SRR8611792,0.002746875,0.470253718,0.008240174,0.005570255,0.002785205,0.022277297
SRR8611793,0.003863005,0.196633455,0.007081948,0.007843009,0.002614473,0.015684788
SRR8611794,0.00841149,0.287290037,0.00630875,0.01512075,0.004320681,0.023759126
SRR8611795,0.006666407,0.23722031,0.008888346,0.011308188,0.001696391,0.027700518
SRR8611796,0.004478003,0.190476845,0.003789105,0.005955384,0.002802622,0.01751381
SRR8611797,0.006354227,0.195902951,0.002471184,0.00970776,0.004314793,0.023367342
SRR8611798,0.005140419,0.241029761,0.003427005,0.001772484,0.001772484,0.038980138
SRR8611799,0.002807254,0.20544811,0.008421289,0.00957781,0.001915709,0.015323616
SRR8611800,0.004690652,0.217650776,0.009380863,0.014235213,0.002372817,0.026094795
SRR8611801,0.004634588,0.21736226,0.004634588,0.006818528,0.00367163,0.019404136
SRR8611802,0.005251273,0.255359271,0.006564006,0.006675924,0,0.012016021
SRR8611803,0.005463713,0.340726104,0.003902713,0.011902023,0.00317415,0.01824861
SRR8611804,0.005137778,0.268169784,0.001712651,0.01056022,0,0.038709904
SRR8611805,0.003564046,0.243551226,0.003564046,0.005450581,0.00726731,0.021798761
SRR8611806,0.005437073,0.198973478,0.006796248,0.009245007,0.003698208,0.021723054
SRR8611807,0.005729149,0.217247136,0.002291738,0.008174944,0.005255474,0.022769734
SRR8611808,0.007082153,0.123793018,0.005901864,0.00853388,0.010971863,0.023159999
