StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,Editing_Index_Unknown,SRR8611815,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611815/SRR8611815.Aligned.sortedByCoord.out.bam,0.009323679,0.086548184,0.014879004,0.015800107,0.007164883,0.035891559
StrandedData,Editing_Index_Unknown,SRR8611785,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611785/SRR8611785.Aligned.sortedByCoord.out.bam,0.008687369,0.115405738,0.018021366,0.016094077,0.005103561,0.040203687
StrandedData,Editing_Index_Unknown,SRR8611876,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611876/SRR8611876.Aligned.sortedByCoord.out.bam,0.00989379,0.128951137,0.018875414,0.017918925,0.006260081,0.053430961
StrandedData,Editing_Index_Unknown,SRR8611840,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611840/SRR8611840.Aligned.sortedByCoord.out.bam,0.00710113,0.099066394,0.013641884,0.014569464,0.007154399,0.044349495
StrandedData,Editing_Index_Unknown,SRR8611784,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611784/SRR8611784.Aligned.sortedByCoord.out.bam,0.010978564,0.099113488,0.019346254,0.018370827,0.006091077,0.042372522
StrandedData,Editing_Index_Unknown,SRR8611884,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611884/SRR8611884.Aligned.sortedByCoord.out.bam,0.009067934,0.087232843,0.011876882,0.013964676,0.004655325,0.038781139
StrandedData,Editing_Index_Unknown,SRR8611895,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611895/SRR8611895.Aligned.sortedByCoord.out.bam,0.00859399,0.094116899,0.012691671,0.014980332,0.005716296,0.039717887
StrandedData,Editing_Index_Unknown,SRR8611774,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611774/SRR8611774.Aligned.sortedByCoord.out.bam,0.008342565,0.094340296,0.011531251,0.015058824,0.011526596,0.036633512
StrandedData,Editing_Index_Unknown,SRR8611762,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611762/SRR8611762.Aligned.sortedByCoord.out.bam,0.01083293,0.126094217,0.016320718,0.019350253,0.007129912,0.049597295
StrandedData,Editing_Index_Unknown,SRR8611814,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611814/SRR8611814.Aligned.sortedByCoord.out.bam,0.007579566,0.0898722,0.013935736,0.014932022,0.006564417,0.036482264
StrandedData,Editing_Index_Unknown,SRR8611802,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611802/SRR8611802.Aligned.sortedByCoord.out.bam,0.010958232,0.125224126,0.011262593,0.013133277,0.005018104,0.041351604
StrandedData,Editing_Index_Unknown,SRR8611819,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611819/SRR8611819.Aligned.sortedByCoord.out.bam,0.006957794,0.092993522,0.015662413,0.015644478,0.005796139,0.03824921
StrandedData,Editing_Index_Unknown,SRR8611816,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611816/SRR8611816.Aligned.sortedByCoord.out.bam,0.006822377,0.08221709,0.011528011,0.015116145,0.005705351,0.041727499
StrandedData,Editing_Index_Unknown,SRR8611767,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611767/SRR8611767.Aligned.sortedByCoord.out.bam,0.00876321,0.103200047,0.013871554,0.014190737,0.006718822,0.044444003
StrandedData,Editing_Index_Unknown,SRR8611804,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611804/SRR8611804.Aligned.sortedByCoord.out.bam,0.011405645,0.110529191,0.01469921,0.013726836,0.005674772,0.040210228
