Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,Phase,treatment,zt
SRR8611757,0.007970936,0.112041686,0.016731846,0.017342557,0.005378849,0.042439781,Rest phase (ZT3),Exercise,4
SRR8611758,0.012107934,0.114274261,0.020024552,0.021942329,0.007826416,0.052244653,Rest phase (ZT3),Sedentary,4
SRR8611759,0.009082005,0.105854183,0.018540674,0.017184059,0.005787128,0.044526095,Rest phase (ZT3),Exercise,4
SRR8611760,0.011304573,0.138570561,0.01581555,0.015276885,0.007309125,0.046425232,Rest phase (ZT3),Sedentary,4
SRR8611761,0.012980143,0.145523618,0.024196446,0.02342819,0.009398699,0.052062232,Rest phase (ZT3),Exercise,8
SRR8611762,0.01083293,0.126094217,0.016320718,0.019350253,0.007129912,0.049597295,Rest phase (ZT3),Sedentary,8
SRR8611763,0.008560925,0.10137316,0.013268809,0.016303912,0.005414324,0.037010574,Rest phase (ZT3),Exercise,8
SRR8611764,0.009841761,0.086682875,0.018870126,0.01673523,0.007100479,0.035390943,Rest phase (ZT3),Sedentary,8
SRR8611765,0.010140021,0.089479617,0.013886391,0.01478756,0.006118706,0.041493296,Rest phase (ZT3),Exercise,12
SRR8611766,0.01366582,0.138488733,0.022757173,0.019659335,0.007450763,0.049754177,Rest phase (ZT3),Sedentary,12
SRR8611767,0.00876321,0.103200047,0.013871554,0.014190737,0.006718822,0.044444003,Rest phase (ZT3),Exercise,12
SRR8611768,0.011524257,0.12654452,0.018338017,0.017148737,0.008555661,0.053254615,Rest phase (ZT3),Sedentary,12
SRR8611769,0.009603038,0.104856292,0.015080867,0.014479616,0.010829168,0.042869763,Rest phase (ZT3),Exercise,16
SRR8611770,0.011024091,0.120308031,0.016387876,0.018678995,0.013666787,0.046177527,Rest phase (ZT3),Sedentary,16
SRR8611771,0.009904826,0.127834944,0.020293075,0.021357431,0.014108684,0.047405063,Rest phase (ZT3),Exercise,16
SRR8611772,0.009308643,0.109551373,0.017162689,0.017724289,0.013113371,0.04221517,Rest phase (ZT3),Sedentary,16
SRR8611773,0.009828509,0.09223373,0.016249503,0.015236676,0.013938918,0.041466738,Rest phase (ZT3),Exercise,20
SRR8611774,0.008342565,0.094340296,0.011531251,0.015058824,0.011526596,0.036633512,Rest phase (ZT3),Sedentary,20
SRR8611775,0.00928631,0.107987915,0.014297253,0.018096218,0.011037484,0.045377305,Rest phase (ZT3),Exercise,20
SRR8611776,0.009572129,0.113840267,0.015372528,0.017228094,0.011753708,0.044116874,Rest phase (ZT3),Sedentary,20
SRR8611777,0.009201656,0.10232031,0.012888145,0.0173895,0.012234128,0.039221889,Rest phase (ZT3),Exercise,0
SRR8611778,0.008808898,0.095426117,0.012869963,0.014022141,0.011437048,0.036295074,Rest phase (ZT3),Sedentary,0
SRR8611779,0.014909646,0.163475422,0.020836342,0.021817906,0.014039811,0.055412603,Rest phase (ZT3),Exercise,0
SRR8611780,0.007862699,0.100576669,0.011398793,0.013547917,0.010370771,0.033932706,Rest phase (ZT3),Sedentary,0
SRR8611781,0.008206959,0.092336025,0.012138983,0.012390258,0.004973329,0.03227568,Active phase (ZT15),Exercise,16
SRR8611782,0.009758109,0.113077098,0.018965577,0.016010425,0.005625869,0.050671803,Active phase (ZT15),Sedentary,16
SRR8611783,0.010165727,0.113980438,0.017548491,0.017585653,0.005163871,0.042777567,Active phase (ZT15),Exercise,16
SRR8611784,0.010978564,0.099113488,0.019346254,0.018370827,0.006091077,0.042372522,Active phase (ZT15),Sedentary,16
SRR8611785,0.008687369,0.115405738,0.018021366,0.016094077,0.005103561,0.040203687,Active phase (ZT15),Exercise,20
SRR8611786,0.006852869,0.083495105,0.012864279,0.014032779,0.0055519,0.035536922,Active phase (ZT15),Sedentary,20
SRR8611788,0.005669683,0.076499325,0.008722323,0.0120837,0.00397625,0.026502359,Active phase (ZT15),Sedentary,20
SRR8611789,0.00632523,0.077692133,0.008433463,0.010830213,0.003484759,0.02954996,Active phase (ZT15),Exercise,0
SRR8611790,0.009141055,0.113801659,0.013529778,0.017911179,0.007501343,0.040731462,Active phase (ZT15),Sedentary,0
SRR8611791,0.008736082,0.109946101,0.014516473,0.013759015,0.006923248,0.041957485,Active phase (ZT15),Exercise,0
SRR8611792,0.010459725,0.158831802,0.015431614,0.017721653,0.008024589,0.051704249,Active phase (ZT15),Sedentary,0
SRR8611793,0.008411238,0.075533093,0.010241111,0.012003645,0.004664481,0.030902952,Active phase (ZT15),Exercise,4
SRR8611794,0.011977314,0.114882575,0.014877638,0.014828212,0.006234052,0.049142902,Active phase (ZT15),Sedentary,4
SRR8611795,0.008698492,0.09010462,0.01092242,0.012603547,0.004793272,0.03631534,Active phase (ZT15),Exercise,4
