Sample,A2GEditingIndex,Phase,treatment,zt
SRR8611757,0.224703134,Rest phase (ZT3),Exercise,4
SRR8611758,0.137099369,Rest phase (ZT3),Sedentary,4
SRR8611759,0.221673495,Rest phase (ZT3),Exercise,4
SRR8611760,0.307200203,Rest phase (ZT3),Sedentary,4
SRR8611761,0.307123708,Rest phase (ZT3),Exercise,8
SRR8611762,0.164526838,Rest phase (ZT3),Sedentary,8
SRR8611763,0.199575573,Rest phase (ZT3),Exercise,8
SRR8611764,0.151943356,Rest phase (ZT3),Sedentary,8
SRR8611765,0.201853381,Rest phase (ZT3),Exercise,12
SRR8611766,0.23977433,Rest phase (ZT3),Sedentary,12
SRR8611767,0.169731844,Rest phase (ZT3),Exercise,12
SRR8611768,0.173114341,Rest phase (ZT3),Sedentary,12
SRR8611769,0.219570801,Rest phase (ZT3),Exercise,16
SRR8611770,0.362443907,Rest phase (ZT3),Sedentary,16
SRR8611771,0.192173305,Rest phase (ZT3),Exercise,16
SRR8611772,0.246126533,Rest phase (ZT3),Sedentary,16
SRR8611773,0.175764086,Rest phase (ZT3),Exercise,20
SRR8611774,0.219828234,Rest phase (ZT3),Sedentary,20
SRR8611775,0.239298059,Rest phase (ZT3),Exercise,20
SRR8611776,0.212407966,Rest phase (ZT3),Sedentary,20
SRR8611777,0.215770148,Rest phase (ZT3),Exercise,0
SRR8611778,0.200476195,Rest phase (ZT3),Sedentary,0
SRR8611779,0.336378291,Rest phase (ZT3),Exercise,0
SRR8611780,0.266418354,Rest phase (ZT3),Sedentary,0
SRR8611781,0.265565915,Active phase (ZT15),Exercise,16
SRR8611782,0.270470334,Active phase (ZT15),Sedentary,16
SRR8611783,0.284702575,Active phase (ZT15),Exercise,16
SRR8611784,0.194393686,Active phase (ZT15),Sedentary,16
SRR8611785,0.259589306,Active phase (ZT15),Exercise,20
SRR8611786,0.19674007,Active phase (ZT15),Sedentary,20
SRR8611788,0.193460471,Active phase (ZT15),Sedentary,20
SRR8611789,0.193968261,Active phase (ZT15),Exercise,0
SRR8611790,0.322169921,Active phase (ZT15),Sedentary,0
SRR8611791,0.176602476,Active phase (ZT15),Exercise,0
SRR8611792,0.470253718,Active phase (ZT15),Sedentary,0
SRR8611793,0.196633455,Active phase (ZT15),Exercise,4
SRR8611794,0.287290037,Active phase (ZT15),Sedentary,4
SRR8611795,0.23722031,Active phase (ZT15),Exercise,4
SRR8611796,0.190476845,Active phase (ZT15),Sedentary,4
SRR8611797,0.195902951,Active phase (ZT15),Exercise,8
SRR8611798,0.241029761,Active phase (ZT15),Sedentary,8
SRR8611799,0.20544811,Active phase (ZT15),Exercise,8
SRR8611800,0.217650776,Active phase (ZT15),Sedentary,8
SRR8611801,0.21736226,Active phase (ZT15),Exercise,12
SRR8611802,0.255359271,Active phase (ZT15),Sedentary,12
SRR8611803,0.340726104,Active phase (ZT15),Exercise,12
SRR8611804,0.268169784,Active phase (ZT15),Sedentary,12
SRR8611805,0.243551226,Rest phase (ZT3),Exercise,4
SRR8611806,0.198973478,Rest phase (ZT3),Sedentary,4
SRR8611807,0.217247136,Rest phase (ZT3),Exercise,4
SRR8611808,0.123793018,Rest phase (ZT3),Sedentary,4
SRR8611809,0.431881408,Rest phase (ZT3),Exercise,8
SRR8611810,0.299198192,Rest phase (ZT3),Sedentary,8
SRR8611811,0.241797905,Rest phase (ZT3),Exercise,8
SRR8611812,0.345207728,Rest phase (ZT3),Sedentary,8
SRR8611813,0.139702835,Rest phase (ZT3),Exercise,12
SRR8611814,0.214692274,Rest phase (ZT3),Exercise,12
SRR8611815,0.200530517,Rest phase (ZT3),Sedentary,12
SRR8611816,0.173214621,Rest phase (ZT3),Exercise,16
SRR8611817,0.248987171,Rest phase (ZT3),Sedentary,16
SRR8611818,0.406021465,Rest phase (ZT3),Exercise,16
SRR8611819,0.251170579,Rest phase (ZT3),Sedentary,16
SRR8611820,0.142489942,Rest phase (ZT3),Exercise,20
SRR8611821,0.177455636,Rest phase (ZT3),Sedentary,20
SRR8611822,0.154420718,Rest phase (ZT3),Exercise,20
SRR8611823,0.127245698,Rest phase (ZT3),Sedentary,20
SRR8611824,0.182490327,Rest phase (ZT3),Exercise,0
SRR8611825,0.145065922,Rest phase (ZT3),Sedentary,0
SRR8611826,0.190173465,Rest phase (ZT3),Exercise,0
SRR8611827,0.1662198,Rest phase (ZT3),Sedentary,0
SRR8611828,0.220211132,Active phase (ZT15),Exercise,16
SRR8611829,0.194209249,Active phase (ZT15),Sedentary,16
SRR8611830,0.237489398,Active phase (ZT15),Exercise,16
SRR8611831,0.227760907,Active phase (ZT15),Sedentary,16
SRR8611832,0.161523707,Active phase (ZT15),Sedentary,20
SRR8611833,0.25525922,Active phase (ZT15),Exercise,20
SRR8611834,0.22803756,Active phase (ZT15),Sedentary,20
SRR8611835,0.269377276,Active phase (ZT15),Sedentary,0
SRR8611836,0.209584585,Active phase (ZT15),Exercise,0
SRR8611837,0.171629623,Active phase (ZT15),Sedentary,0
SRR8611838,0.246158733,Active phase (ZT15),Exercise,4
SRR8611839,0.476545531,Active phase (ZT15),Sedentary,4
SRR8611840,0.254577654,Active phase (ZT15),Exercise,4
SRR8611841,0.184999615,Active phase (ZT15),Sedentary,4
SRR8611842,0.236098048,Active phase (ZT15),Exercise,8
SRR8611843,0.202836575,Active phase (ZT15),Sedentary,8
SRR8611844,0.193287293,Active phase (ZT15),Exercise,8
SRR8611845,0.326366058,Active phase (ZT15),Exercise,12
SRR8611846,0.240871326,Active phase (ZT15),Sedentary,12
SRR8611847,0.18691977,Active phase (ZT15),Exercise,12
SRR8611848,0.217032768,Active phase (ZT15),Sedentary,12
SRR8611849,0.18775859,Rest phase (ZT3),Exercise,4
SRR8611850,0.329672615,Rest phase (ZT3),Sedentary,4
SRR8611851,0.216180566,Rest phase (ZT3),Exercise,4
SRR8611852,0.235229478,Rest phase (ZT3),Sedentary,4
SRR8611853,0.172858271,Rest phase (ZT3),Exercise,8
SRR8611854,0.215191293,Rest phase (ZT3),Sedentary,8
SRR8611855,0.297912936,Rest phase (ZT3),Exercise,8
SRR8611856,0.29134533,Rest phase (ZT3),Sedentary,8
SRR8611857,0.185230921,Rest phase (ZT3),Exercise,12
SRR8611858,0.133392619,Rest phase (ZT3),Sedentary,12
SRR8611859,0.207938922,Rest phase (ZT3),Exercise,12
SRR8611860,0.225510148,Rest phase (ZT3),Sedentary,12
SRR8611861,0.23350963,Rest phase (ZT3),Exercise,16
SRR8611862,0.138422198,Rest phase (ZT3),Sedentary,16
SRR8611863,0.229364253,Rest phase (ZT3),Exercise,16
SRR8611864,0.177127543,Rest phase (ZT3),Sedentary,16
SRR8611865,0.116431526,Rest phase (ZT3),Exercise,20
SRR8611866,0.123806155,Rest phase (ZT3),Sedentary,20
SRR8611867,0.129769219,Rest phase (ZT3),Exercise,20
SRR8611868,0.215252153,Rest phase (ZT3),Sedentary,20
SRR8611869,0.120293516,Rest phase (ZT3),Exercise,0
SRR8611870,0.214017819,Rest phase (ZT3),Sedentary,0
SRR8611871,0.238020943,Rest phase (ZT3),Exercise,0
SRR8611872,0.16797249,Rest phase (ZT3),Sedentary,0
