level,Phase,zt,n_ex,n_sed,U,p,p_fdr,sig
Phase_ZT,Active phase (ZT15),0.0,5,6,15.0,1.0,1.0,ns
Phase_ZT,Active phase (ZT15),4.0,6,6,12.0,0.3939393939393939,1.0,ns
Phase_ZT,Active phase (ZT15),8.0,6,5,13.0,0.7922077922077921,1.0,ns
Phase_ZT,Active phase (ZT15),12.0,6,6,18.0,1.0,1.0,ns
Phase_ZT,Active phase (ZT15),16.0,6,6,18.0,1.0,1.0,ns
Phase_ZT,Active phase (ZT15),20.0,4,6,14.0,0.7619047619047619,1.0,ns
Phase_ZT,Rest phase (ZT3),0.0,6,6,22.0,0.5887445887445888,1.0,ns
Phase_ZT,Rest phase (ZT3),4.0,6,6,18.0,1.0,1.0,ns
Phase_ZT,Rest phase (ZT3),8.0,6,6,22.0,0.5887445887445888,1.0,ns
Phase_ZT,Rest phase (ZT3),12.0,6,5,13.0,0.7922077922077921,1.0,ns
Phase_ZT,Rest phase (ZT3),16.0,6,6,15.0,0.6991341991341992,1.0,ns
Phase_ZT,Rest phase (ZT3),20.0,6,6,14.0,0.5887445887445888,1.0,ns
Phase_only,Active phase (ZT15),,33,35,544.0,0.6855227480750439,1.0,ns
Phase_only,Rest phase (ZT3),,36,35,643.0,0.8856871012574216,1.0,ns
