Sample,A2GEditingIndex,Phase,treatment,zt
SRR8611757,0.112041686,Rest phase (ZT3),Exercise,4
SRR8611758,0.114274261,Rest phase (ZT3),Sedentary,4
SRR8611759,0.105854183,Rest phase (ZT3),Exercise,4
SRR8611760,0.138570561,Rest phase (ZT3),Sedentary,4
SRR8611761,0.145523618,Rest phase (ZT3),Exercise,8
SRR8611762,0.126094217,Rest phase (ZT3),Sedentary,8
SRR8611763,0.10137316,Rest phase (ZT3),Exercise,8
SRR8611764,0.086682875,Rest phase (ZT3),Sedentary,8
SRR8611765,0.089479617,Rest phase (ZT3),Exercise,12
SRR8611766,0.138488733,Rest phase (ZT3),Sedentary,12
SRR8611767,0.103200047,Rest phase (ZT3),Exercise,12
SRR8611768,0.12654452,Rest phase (ZT3),Sedentary,12
SRR8611769,0.104856292,Rest phase (ZT3),Exercise,16
SRR8611770,0.120308031,Rest phase (ZT3),Sedentary,16
SRR8611771,0.127834944,Rest phase (ZT3),Exercise,16
SRR8611772,0.109551373,Rest phase (ZT3),Sedentary,16
SRR8611773,0.09223373,Rest phase (ZT3),Exercise,20
SRR8611774,0.094340296,Rest phase (ZT3),Sedentary,20
SRR8611775,0.107987915,Rest phase (ZT3),Exercise,20
SRR8611776,0.113840267,Rest phase (ZT3),Sedentary,20
SRR8611777,0.10232031,Rest phase (ZT3),Exercise,0
SRR8611778,0.095426117,Rest phase (ZT3),Sedentary,0
SRR8611779,0.163475422,Rest phase (ZT3),Exercise,0
SRR8611780,0.100576669,Rest phase (ZT3),Sedentary,0
SRR8611781,0.092336025,Active phase (ZT15),Exercise,16
SRR8611782,0.113077098,Active phase (ZT15),Sedentary,16
SRR8611783,0.113980438,Active phase (ZT15),Exercise,16
SRR8611784,0.099113488,Active phase (ZT15),Sedentary,16
SRR8611785,0.115405738,Active phase (ZT15),Exercise,20
SRR8611786,0.083495105,Active phase (ZT15),Sedentary,20
SRR8611788,0.076499325,Active phase (ZT15),Sedentary,20
SRR8611789,0.077692133,Active phase (ZT15),Exercise,0
SRR8611790,0.113801659,Active phase (ZT15),Sedentary,0
SRR8611791,0.109946101,Active phase (ZT15),Exercise,0
SRR8611792,0.158831802,Active phase (ZT15),Sedentary,0
SRR8611793,0.075533093,Active phase (ZT15),Exercise,4
SRR8611794,0.114882575,Active phase (ZT15),Sedentary,4
SRR8611795,0.09010462,Active phase (ZT15),Exercise,4
SRR8611796,0.075453785,Active phase (ZT15),Sedentary,4
SRR8611797,0.070679161,Active phase (ZT15),Exercise,8
SRR8611798,0.150067229,Active phase (ZT15),Sedentary,8
SRR8611799,0.087253419,Active phase (ZT15),Exercise,8
SRR8611800,0.115973041,Active phase (ZT15),Sedentary,8
SRR8611801,0.082057893,Active phase (ZT15),Exercise,12
SRR8611802,0.125224126,Active phase (ZT15),Sedentary,12
SRR8611803,0.102547302,Active phase (ZT15),Exercise,12
SRR8611804,0.110529191,Active phase (ZT15),Sedentary,12
SRR8611805,0.108035889,Rest phase (ZT3),Exercise,4
SRR8611806,0.086195528,Rest phase (ZT3),Sedentary,4
SRR8611807,0.076972497,Rest phase (ZT3),Exercise,4
SRR8611808,0.080432836,Rest phase (ZT3),Sedentary,4
SRR8611809,0.134393732,Rest phase (ZT3),Exercise,8
SRR8611810,0.128046662,Rest phase (ZT3),Sedentary,8
SRR8611811,0.109746178,Rest phase (ZT3),Exercise,8
SRR8611812,0.108259009,Rest phase (ZT3),Sedentary,8
SRR8611813,0.074210524,Rest phase (ZT3),Exercise,12
SRR8611814,0.0898722,Rest phase (ZT3),Exercise,12
