Sample,Adar,Adarb1,Adarb2,Phase,treatment,zt
SRR8611757,0.043111,0.094369,0.001903,Rest phase (ZT3),Exercise,4
SRR8611758,0.019565,0.023747,0,Rest phase (ZT3),Sedentary,4
SRR8611759,0.061062,0.084564,0,Rest phase (ZT3),Exercise,4
SRR8611760,0.032238,0.040323,0.003823,Rest phase (ZT3),Sedentary,4
SRR8611761,0.015381,0.045052,0,Rest phase (ZT3),Exercise,8
SRR8611762,0.025662,0.016462,0,Rest phase (ZT3),Sedentary,8
SRR8611763,0.074005,0.17262,0.003036,Rest phase (ZT3),Exercise,8
SRR8611764,0.042816,0.055218,0.015719,Rest phase (ZT3),Sedentary,8
SRR8611765,0.084009,0.174303,0,Rest phase (ZT3),Exercise,12
SRR8611766,0.030671,0.050401,0,Rest phase (ZT3),Sedentary,12
SRR8611767,0.024149,0.067836,0,Rest phase (ZT3),Exercise,12
SRR8611768,0.032658,0.068058,0.002324,Rest phase (ZT3),Sedentary,12
SRR8611769,0.024608,0.048057,0,Rest phase (ZT3),Exercise,16
SRR8611770,0.028383,0.045167,0,Rest phase (ZT3),Sedentary,16
SRR8611771,0.007901,0.033482,0.003544,Rest phase (ZT3),Exercise,16
SRR8611772,0.025743,0.064134,0,Rest phase (ZT3),Sedentary,16
SRR8611773,0.024573,0.039053,0,Rest phase (ZT3),Exercise,20
SRR8611774,0.114866,0.197734,0,Rest phase (ZT3),Sedentary,20
SRR8611775,0.012196,0.039362,0.001094,Rest phase (ZT3),Exercise,20
SRR8611776,0.030567,0.039912,0.00235,Rest phase (ZT3),Sedentary,20
SRR8611777,0.017229,0.047415,0,Rest phase (ZT3),Exercise,0
SRR8611778,0.122268,0.190364,0.002909,Rest phase (ZT3),Sedentary,0
SRR8611779,0.056906,0.131184,0.010288,Rest phase (ZT3),Exercise,0
SRR8611780,0.025682,0.036857,0.004767,Rest phase (ZT3),Sedentary,0
SRR8611781,0,0,0.149612,Active phase (ZT15),Exercise,16
SRR8611782,0.008075,0.022964,0,Active phase (ZT15),Sedentary,16
SRR8611783,0.016602,0.042451,0,Active phase (ZT15),Exercise,16
SRR8611784,0.009753,0.037001,0,Active phase (ZT15),Sedentary,16
SRR8611785,0.0132,0.031824,0,Active phase (ZT15),Exercise,20
SRR8611786,0.125498,0.252727,0,Active phase (ZT15),Sedentary,20
חסרה פה דגימה,,,,Active phase (ZT15),Exercise,20
SRR8611788,0.113638,0.15836,0.00141,Active phase (ZT15),Sedentary,20
SRR8611789,0.425324,1.01593,0.007237,Active phase (ZT15),Exercise,0
SRR8611790,0.022186,0.03178,0.001148,Active phase (ZT15),Sedentary,0
SRR8611791,0.044646,0.094974,0,Active phase (ZT15),Exercise,0
SRR8611792,0.017131,0.015192,0,Active phase (ZT15),Sedentary,0
SRR8611793,0.254442,0.365005,0.012738,Active phase (ZT15),Exercise,4
SRR8611794,0.011666,0.025572,0,Active phase (ZT15),Sedentary,4
SRR8611795,0.117178,0.258892,0.004078,Active phase (ZT15),Exercise,4
SRR8611796,0.41488,0.649346,0.011472,Active phase (ZT15),Sedentary,4
SRR8611797,0.168212,0.519487,0.004831,Active phase (ZT15),Exercise,8
SRR8611798,0.025964,0.025409,0,Active phase (ZT15),Sedentary,8
SRR8611799,0.053653,0.096387,0.005554,Active phase (ZT15),Exercise,8
SRR8611800,0.016977,0.031133,0.001362,Active phase (ZT15),Sedentary,8
SRR8611801,0.188618,0.433924,0.010804,Active phase (ZT15),Exercise,12
SRR8611802,0.062725,0.150357,0.018779,Active phase (ZT15),Sedentary,12
SRR8611803,0.061979,0.15624,0.004396,Active phase (ZT15),Exercise,12
SRR8611804,0.035266,0.037905,0,Active phase (ZT15),Sedentary,12
SRR8611805,0.053468,0.054103,0.015356,Rest phase (ZT3),Exercise,4
SRR8611806,0.19139,0.38455,0.00444,Rest phase (ZT3),Sedentary,4
SRR8611807,0.158688,0.389576,0.010617,Rest phase (ZT3),Exercise,4
SRR8611808,0.024708,0.028983,0.001516,Rest phase (ZT3),Sedentary,4
SRR8611809,0.02262,0.043772,0,Rest phase (ZT3),Exercise,8
SRR8611810,0.070118,0.15827,0.024684,Rest phase (ZT3),Sedentary,8
SRR8611811,0.082384,0.206647,0.012795,Rest phase (ZT3),Exercise,8
SRR8611812,0.067103,0.074657,0,Rest phase (ZT3),Sedentary,8
SRR8611813,0.042331,0.172456,0.001747,Rest phase (ZT3),Exercise,12
SRR8611814,0.084824,0.136429,0.004537,Rest phase (ZT3),Exercise,12
SRR8611815,0.026842,0.046611,0,Rest phase (ZT3),Sedentary,12
SRR8611816,0.018177,0.056371,0,Rest phase (ZT3),Exercise,16
SRR8611817,0,0,0.040671,Rest phase (ZT3),Sedentary,16
SRR8611818,0.009068,0.036861,0,Rest phase (ZT3),Exercise,16
SRR8611819,0.017749,0.044559,0,Rest phase (ZT3),Sedentary,16
SRR8611820,0.032223,0.069939,0,Rest phase (ZT3),Exercise,20
SRR8611821,0.066991,0.136456,0.001647,Rest phase (ZT3),Sedentary,20
SRR8611822,0.040909,0.111018,0.009179,Rest phase (ZT3),Exercise,20
SRR8611823,0.01331,0.038001,0.001493,Rest phase (ZT3),Sedentary,20
SRR8611824,0.030711,0.045453,0.002275,Rest phase (ZT3),Exercise,0
SRR8611825,0.051519,0.077747,0.004951,Rest phase (ZT3),Sedentary,0
SRR8611826,0.034615,0.055889,0,Rest phase (ZT3),Exercise,0
SRR8611827,0.049578,0.092581,0.001736,Rest phase (ZT3),Sedentary,0
SRR8611828,0.019663,0.07678,0.001401,Active phase (ZT15),Exercise,16
SRR8611829,0.020576,0.072325,0.005535,Active phase (ZT15),Sedentary,16
SRR8611830,0.018508,0.061144,0,Active phase (ZT15),Exercise,16
SRR8611831,0.015128,0.041376,0,Active phase (ZT15),Sedentary,16
SRR8611832,0.053529,0.075476,0,Active phase (ZT15),Sedentary,20
SRR8611833,0.026288,0.056827,0.001768,Active phase (ZT15),Exercise,20
SRR8611834,0.109781,0.291111,0.006016,Active phase (ZT15),Sedentary,20
SRR8611835,0.019842,0.045133,0,Active phase (ZT15),Sedentary,0
SRR8611836,0.080965,0.129483,0.003454,Active phase (ZT15),Exercise,0
SRR8611837,0.040005,0.083584,0.001859,Active phase (ZT15),Sedentary,0
