Sample Name,Sample,Run,Unnamed: 2,treatment (lna),treatment (eps),A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
GSM5617726,SRR16242433,SRR16242433,1.0,Negative control,Rest,0.0367566475,0.186324143,0.0414546525,0.037036479,0.030553807500000002,0.182382477
GSM5617727,SRR16242435,SRR16242435,1.0,Tug1,Rest,0.037334176999999996,0.1926641385,0.042100546,0.037289679,0.0313201735,0.186179918
GSM5617728,SRR16242437,SRR16242437,1.0,Negative control,Rest,0.036226639,0.19431934150000002,0.0393898855,0.035372643999999995,0.0306761455,0.182998547
GSM5617729,SRR16242439,SRR16242439,1.0,Tug1,Rest,0.037356232,0.1885534675,0.044315505000000005,0.036956126000000006,0.028548297,0.18596917200000002
GSM5617730,SRR16242441,SRR16242441,1.0,Negative control,Rest,0.0371340105,0.201240006,0.042476217499999996,0.035020798500000005,0.0305702895,0.18774516800000002
GSM5617731,SRR16242443,SRR16242443,1.0,Tug1,Rest,0.0347941315,0.1958742525,0.0417654815,0.0384454345,0.028791978,0.18857821349999998
GSM5617732,SRR16242445,SRR16242445,1.0,Negative control,EPS 0h,0.0381697785,0.2944884505,0.044220189,0.035884142,0.028433664499999997,0.18328016400000002
GSM5617733,SRR16242447,SRR16242447,1.0,Tug1,EPS 0h,0.0384299815,0.301297673,0.044807797999999996,0.036306171,0.029580870000000002,0.18014060999999998
GSM5617734,SRR16242449,SRR16242449,1.0,Negative control,EPS 0h,0.03622323,0.30627327400000004,0.038652491,0.0350702405,0.0288580355,0.17477620700000002
GSM5617735,SRR16242451,SRR16242451,1.0,Tug1,EPS 0h,0.0358627095,0.32727227400000003,0.039597439,0.036033115000000004,0.028883731000000003,0.1744170445
GSM5617736,SRR16242453,SRR16242453,1.0,Negative control,EPS 0h,0.0351889905,0.240850931,0.041762359,0.0360611275,0.0290344445,0.178331931
GSM5617737,SRR16242455,SRR16242455,1.0,Tug1,EPS 0h,0.035487129,0.259693426,0.041244815500000004,0.034607663999999996,0.0293246035,0.1788880015
GSM5617738,SRR16242457,SRR16242457,1.0,Negative control,EPS 3h,0.038792556,0.3982019905,0.041623456,0.0377977335,0.0310434255,0.185236506
GSM5617739,SRR16242459,SRR16242459,1.0,Tug1,EPS 3h,0.0397028155,0.4582517425,0.0437229035,0.038889024,0.029553574,0.185283871
GSM5617740,SRR16242461,SRR16242461,1.0,Negative control,EPS 3h,0.0391978325,0.38996102099999996,0.041493248999999996,0.039399581,0.030439274000000002,0.1832148435
GSM5617741,SRR16242463,SRR16242463,1.0,Tug1,EPS 3h,0.038110156500000006,0.4836049355,0.04303219,0.0381995205,0.0293685125,0.178274693
GSM5617742,SRR16242465,SRR16242465,1.0,Negative control,EPS 3h,0.037740116000000004,0.329152356,0.036041371,0.038325132,0.0299710475,0.174781782
GSM5617743,SRR16242467,SRR16242467,1.0,Tug1,EPS 3h,0.037435071,0.362351168,0.042701946500000004,0.0433830035,0.030830326499999998,0.17598540299999998
